0,1,2,3,4,5,6,7,8,9,10
Nomod,Omar Kassim,"Omar is the Founder and CEO of Nomod. Omar previously founded and exited JadoPado, a highly regarded MENA e-commerce technology platform, to Noon.com in 2017. Omar has a BsC in Electronics Engineering and Business Studies from the University of Warwick, UK",,,,,,,,
Genomelink,Yuta Matsuda,Co-founder and COO at Genomelink.,Kensuke Numakura,Co-Founder and CTO of Genomelink,Tomohiro Takano,Co-founder and CEO at Genomelink,,,,
Lumify Care,Jennifferre Mancillas,"Founder & COO of Lumify Care (YC S21), Registered Nurse, healthcare innovator and Johnson & Johnson Nurse Innovation Fellow. Currently building the future of nursing at Lumify Care; feel free to reach out at Jennifferre@lumifycare.com to learn more!",Anthony Scarpone-Lambert,"Founder & CEO at Lumify Care, Nurse, and Broadway Alum from Philadelphia, PA. Feel free to reach out at anthony@lumifycare.com to connect!",,,,,,
Chari Co.,Sophia Alj,"I am a tech entrepreneur, co-founder & COO of Chari.co.
I am an ex-McKinsey consultant with a passion for digital transformations. 
I am the mom of 2: Malyk & Leyla, 3 and 2 years old.
I am a triathlete & skydiver.",Ismael Belkhayat,"Moroccan born & raised. 
Went to a french High School in Rabat Morocco, then left Morocco to go to University in Europe and the US. I studied and lived in Paris, London, Madrid and Ithaca. 
I started my career working as a consultant for the Boston Consulting Group and then left after 3 years to become a tech entrepreneur in Casablanca Morocco.",,,,,,
Noloco,Simon Curran,"Co-Founder & CEO of Noloco - build a tailor-made client portal for your business.
Former Product Manager at Revolut, TripAdvisor, Shazam & Flipdish.
Based in Dublin, Ireland 🇮🇪",Darragh Mc Kay,"CTO & Co-founder of Noloco | Dublin, Ireland",,,,,,
Litnerd,"Anisa Mirza, CEO",CEO & Founder at Litnerd. Disrupting K-12 education from the outside-in. Proudly serving elementary schools. Join us: www.Litnerd.com,,,,,,,,
Dots 💸,Sahil Hasan,Kartikye Mittal,,,,,,,,
Revery AI,Min Jin Chong,Min Jin Chong is the CSO of Revery AI. He is currently a Ph.D. in Computer Vision at the University of Illinois at Urbana-Champaign. He is interested in image generation and manipulation.,Kedan Li,"CEO of Revery - Scalable Virtual Try-on,
CS PhD at UIUC, expert in fashion+AI,
Software Engineer at Fitbit,
Tech Entrepreneur at heart, passionate about consumer AI.",Jeffrey Zhang,Jeffrey is the COO of Revery AI and is a PhD candidate in AI and computer vision. He is currently leading the development of the world’s first scalable virtual try-on technology. He is an expert in fashion AI with more than 5 years of experience in the domain and has written other AI publications ranging from fully automated pipelines for diagnosing heart diseases to methods that allow AI models to constantly learn new tasks.,,,,
Slip,Kenneth Cassel,"Founder of Slip. 
Previous to founding Slip I launched a popular vim learning tool called vim.so.",,,,,,,,
Examedi,Andres Kemeny,"Software Engineer from Santiago, Chile.

Second-youngest LatAm founder in YC, ever.

Started programming when I was 14. Worked at two startups that went through a local accelerator powered by the Chilean government.

Gave up a scholarship and dropped out from Civil Engineering to focus 100% on Examedi.",Ian Lee,"Software Engineer from Chile 🇨🇱

Got my first SWE job at 17, where I co-founded the tech area of Houm (YC W21)—all-in-one real estate marketplace. Left two years later.

Gave up a scholarship at the University of Waterloo, Software Engineering, by dropping out after my first semester.

Now in Examedi, improving the healthcare system by bringing the ease of ordering food online, into healthcare.",Juan Pablo Zepeda,"Industrial engineer from Santiago, Chile. Dropped out of my M Sc, in Optimization to build the logistics infrastructure at Houm (YC W21), where I managed ~150 freelancers in Chile, Mexico, and Colombia—on average showing 1 real-estate property every 6 minutes.

Now I'm at Examedi, using logistics to uberize the Healthcare industry.",,,,
Ancana,Andres Barrios,"Andres is a serial entrepreneur passionate about creating efficient real estate solutions to our ever growing population. He is an experienced founder that has demonstrated history of launching succesful tech startups in different industries and a real estate junky with more than 16 years of experience in acquisitions, property management, development and divestments.

Has an MBA from UT at Austin",Ryan Black,,,,,,,
Onfolk,Naz Malik,"Psychology grad, ex-investigative journalist, ex-Monzo engineer (3.5 yrs)",Charlie Thomas,"Currently trying to fix payroll 
@onfolkhr

Previously building a better bank 
@monzo


Occasionally working on a Maths and Philosophy degree 
@durham_uni",,,,,,
CostCertified,Mike Bignold,"Mike Bignold is the founder and CEO of CostCertified. He conceived and built CostCertified while running his previous contracting contracting company, with the aim of transforming the construction industry. He dived full-time into CostCertified in 2017, it came out of beta in late 2020, and in 2021 it is expected to have over $200m of construction projects sold through the platform. Born and raised in Canmore, Alberta, he also has a BMgt from University of British Columbia (Okanagan).",Dave Vass,Dreams big dreams & willing to risk everything to make them happen.,,,,,,
FloatPays (Pty) Ltd,Simon Ward,"I am a passionate technologist and product builder. I get my energy from building products that disrupt existing markets and make a positive impact on how we live our lives.

My experience includes 20 years as an entrepreneur and business leader in the fintech and eCommerce business verticals. I have worked globally and been fortunate enough to be part of a few business exits along the way. Brands include Play.com, Rakuten, Moonpig.com, Photobox.com, and Prodigy Finance.",,,,,,,,
TransAstra Corporation,Joel Sercel,"An engineer of several disciplines and a pioneer with a proven track record in innovation, team leadership, technical architectural design, software design, systems engineering,space mission design, space propulsion technology, satellite design, enterprise process engineering, training, teaching, and public speaking. PhD in space propulsion and plasma physics from Caltech. Have successfully built and led teams ranging in size from two people to over 100.",,,,,,,,
The Breakaway,Jordan Kobert,"In no particular order: Father. Husband. Son. Builder. Learner. Connector. Cyclist. Skier. Seeker.

Currently: I am joining S21 with The Breakaway to change how people benefit from connected fitness. 

Previously: Urbandoor (Acq by Airbnb), Strava, Google, AdMob (Acq by Google), Homegain.",,,,,,,,
Matrubials Inc.,Carlito Lebrilla,"Dr. Carlito B. Lebrilla is a Distinguished Professor at the University of California, Davis in the Department of Chemistry and Biochemistry and Molecular Medicine in the School of Medicine. His research is in Analytical Chemistry focused on mass spectrometry with applications to clinical glycomics and biofunctional food.",David Mills,"David A. Mills is a Professor in the Department of Food Science & Technology at the UC Davis. Dr. Mills studies the molecular biology and ecology of bacteria that play an active role in gut health or fermented foods. He is the Peter J. Shields Endowed Chair (2012), a Fellow in the American Academy of Microbiology (2015), and has been named a Highly Cited Researcher by Clarivate Analytics since 2018. He is also a co-founder of three start ups; Evolve Biosystems, BCD Bioscience, and Matrubials.",Ishita Shah,"Ishita M. Shah, PhD, is the CEO and co-founder of Matrubials, a spin-out from UC Davis, Foods for Health Institute. As the Associate Director (Microbial Programs) at FFHI, she has investigated the role of milk components in human health, specifically in terms of infectious diseases. Previously, Dr. Shah has worked at Genentech (Senior researcher, infectious diseases) and Columbia University (Postdoctoral scientist), receiving several awards (PhD thesis prize (UMBC'05)/ key researcher/ speaker).",Bruce German,,,
Sirka,Rifanditto Adhikara,I lead product & growth for Sirka.,Dito Krista,"Dito Krista (DK) is building Sirka, mobile health solution for chronic disease prevention in Indonesia, where he is in charge of commerce and operations. Prior to Sirka, he led insurtech business strategy at OVO, Indonesia's leading payment fintech, and set up joint venture with ZhongAn, one of the largest insurtechs in APAC. DK completed his MBA at INSEAD in 2018. An avid reader and casual programmer, he enjoys playing badminton and building mechanical keyboards outside work.",,,,,,
Mentum,Simon Avila,Daniel Osvath,Gustavo Trigos,,,,,,,
Meticulous,Gabriel Spencer-Harper,"Working on software to catch bugs in web applications with zero-effort from developers. 

I used to work at Dropbox, Opendoor and co-founded moju.io (search engine for finding Instagram influencers, sold to large US ad agency).",,,,,,,,
Warrant,Aditya Kajla,"Co-Founder at Warrant. Previously built products & infra at Lyft, Medallia and Yahoo.",Karan Kajla,Co-Founder at Warrant. Previously built product and analytics platforms at AppLovin & AppFolio. Music producer and guitar enthusiast.,,,,,,
Spark Studio,ANUSHREE GOENKA,"CoFounder and CEO, Spark Studio.
I'm a business generalist with experience in business leadership roles at early stage and unicorn stage consumer tech start-ups in India. 
I think of myself as equally left and right brained, and hope to bring that to the business we're building. Curious to learn about businesses and markets across the world.",Namita Goel,"I have 12+ yrs of work experience, with a decade of it in education and ed-tech. I was among the founding team members of LEAD Schools, and has been leading their curriculum and academic strategy for the last 4 years. I have worked on 0-1 products catering to K-10 at organisations such as LEAD School, Uplift Education, Teach For India. I have deep experience in curriculum design, utilizing and guiding tech to deliver learning outcomes, teacher training and thinking of quality at scale.",Kaustubh Khade,"Building a superlative extracurricular learning experience for kids. Ex-BYJU'S, Ex-Dailyhunt, Btech in Computer Science from IIT Delhi.
In a past life, I kayaked the entire west coast of India(3,000+ kms), and won 2 Asian silver medals for canoeing.",Jyothika Sahajanandan,,,
Endla,Michael Moore,"I’m an AWS specialist with a strong software architecture and mathematics background. Before Endla I consulted on software and infrastructure architecture design to solve pressing problems for businesses of all sizes. Through this I have seen many ways which software fails and how to avoid these issues. I joined Endla to solve a class of problems in a high value and underserviced industry, bringing the energy industry forward.",Riley O'Donnell,,,,,,,
Levo,Max Mergenthaler,"Currently CTO @Levo. I am an Entrepreneur, Senior Manager and Board Member with a strong technical knowledge and more than 7 years building and leading high performing teams.",Salvador Rivero,"Born and raised in Mexico City, trained in Political Science and Finance at Sciences Po in France. 9 years experience in the investment industry, invested more than $1B USD in Latam equity markets. 3 time founder and fintech geek.",,,,,,
